Sr No	Token	Original Token	UPOS	EngPOS	SPOS	case	Gender	Number	Person	Morphology Form	Lema	pronunciation
13	.	.	PERIOD		پورو دم							Dot
1	پنهنجي	پنهنجي	PRON	PRP 	ضمير					Morphology Form = Bound	پنهنجي	Pahenji
2	بهتر	بهتر	ADJ	JJ 	صفت			Number = Sing		Morphology Form = Simple	بهتر	Behtar
3	صحت	صحت	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	صحت	Sehat
4	لاءِ	لاءِ	ADP	IN 	حرفِ جر					Morphology Form = Simple	لاءِ	Lae
5	پاڻي	پاڻي	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Bound	پاڻي	paani
6	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
7	گھڻو	گھڻو	ADJ	JJ 	صفت					Morphology Form = Simple	گھڻو	Ghanno
8	استعمال	استعمال	NOUN	NN 	اسم		Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	استعمال	Ustaad
9	ڪرڻ	ڪر	VERB	VB 	فعل			Number = Sing		Morphology Form = Simple	ڪر	karan
10	گھرجي	گھرج	AUX	VB 	فعل معاون					Morphology Form = Bound	گھرجي	ghurjay
11	.	.	PERIOD		پورو دم							Dot
1	بريصغير	بريصغير	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing		Morphology Form = Bound	بريصغير	Baray Sageer
2	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
3	عورت	عورت	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	عورت	Aurat
4	تي	تي	ADP	PRP 	حرفِ جر					Morphology Form = Simple	تي	Te
5	گھڻو	گھڻو	ADJ	JJ 	صفت					Morphology Form = Simple	گھڻو	Ghanno
6	ظلم	ظلم	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ظلم	Zulum
7	ٿئي	ٿي	VERB	VB 	فعل					Morphology Form = Bound	ٿئي	theeay
8	پيو	پيو	VERB	VB 	فعل					Morphology Form = Bound	پيو	payo
9	.	.	PERIOD		پورو دم							Dot
1	اوهان	اوهان	PRON	PRP 	ضمير			Number = Plur		Morphology Form = Bound	اوهان	Awhaan
2	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
3	ڪڏهن	ڪڏهن	ADV	RB 	ظرف					Morphology Form = Simple	ڪڏهن	kedehn
4	به	به	ADP	IN 	حرفِ جر					Morphology Form = Simple	به	Bi
5	وساري	وسار	VERB	VB 	فعل					Morphology Form = Bound	وسار	Wisaaray
6	نه	نه	ADV	RB 	ظرف					Morphology Form = Simple	نه	Na 
7	سگھبو	سگھبو	AUX	VBD 	فعل معاون					Morphology Form = Bound	سگھبو	Saghyo
8	اوهان	اوهان	PRON	PRP 	ضمير			Number = Plur		Morphology Form = Bound	اوهان	Awhaan
9	هميشه	هميشه	ADV	RB 	ظرف					Morphology Form = Simple	هميشه	Hamesha
10	دل	دل	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	دل	Dil
11	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
12	رهندا	ره	VERB	VBN 	فعل					Morphology Form = Bound	رهندو	Rahanda
13	.	.	PERIOD		پورو دم							Dot
1	ئ	ئ	X		نامعلوم							ye
2	اها	اها	DET	DT 	ضمير اشارو		Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	اها	Ehaa
3	خبر	خبر	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	خبر	Khabar
4	پئي	پئي	VERB	VB 	فعل					Morphology Form = Simple	پئي	paee
5	ته	ته	ADP	IN 	حرفِ جر					Morphology Form = Simple	ته	ta
6	هوءَ	هوءَ	DET	DT 	ضمير اشارو					Morphology Form = Bound	هوءَ	Hooa
7	تمام	تمام	ADV	RB 	ظرف					Morphology Form = Simple	تمام	Tamam
8	گھڻي	گھڻي	ADJ	JJ 	صفت					Morphology Form = Simple	گھڻي	Ghanni
9	خوش	خوش	ADJ	JJ 	صفت	Case = ACC				Morphology Form = Simple	خوش	Khush
10	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
11	.	.	PERIOD		پورو دم							Dot
12	ميوو	ميوو	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ميوو	Mevo
13	کائجي	کاءِ	VERB	VB 	فعل					Morphology Form = Bound	کاءِ	khaaejay
14	ٿو	ٿو	VERB	VB 	فعل					Morphology Form = Simple	ٿو	tho
15	.	.	PERIOD		پورو دم							Dot
1	صوف	صوف	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	صوف	Soof
2	کائجي	کاءِ	VERB	VB 	فعل					Morphology Form = Bound	کاءِ	khaaejay
3	ٿو	ٿو	VERB	VB 	فعل					Morphology Form = Simple	ٿو	tho
4	.	.	PERIOD		پورو دم							Dot
5	اخبار	خبر	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	اخبار	Akhbaar
6	پڙهجي	پڙه	VERB	VB 	فعل					Morphology Form = Bound	پڙه	parhjay
7	ٿي	ٿي	VERB	VB 	فعل					Morphology Form = Simple	ٿي	thee
8	.	.	PERIOD		پورو دم							Dot
1	امن	امن	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	امن	Aman
2	سان	سان	ADP	IN 	حرفِ جر					Morphology Form = Bound	سان	Saan
3	ئي	ئي	ADV	RB 	ظرف					Morphology Form = Simple	ئي	Ee
4	ترقي	ترقي	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	ترقي	Tarqi
5	ٿئي	ٿي	VERB	VB 	فعل					Morphology Form = Bound	ٿئي	theeay
6	ٿي	ٿي	VERB	VB 	فعل					Morphology Form = Simple	ٿي	thee
7	.	.	PERIOD		پورو دم							Dot
1	ياسر	ياسر	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ياسر	yaasir
2	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
3	ڪراچي	ڪراچي	PROPN	NNP	اسم خاص	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Bound	ڪراچي	Karachi
4	وڃڻو	وڃ	VERB	VB 	فعل					Morphology Form = Bound	وڃ	Waghhano
5	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
6	.	.	PERIOD		پورو دم							Dot
1	گوپال	گوپال	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	گوپال	Gopal
2	بدين	بدين	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	بدين	Badeen
3	ويو	ويو	VERB	VBD 	فعل					Morphology Form = Bound	ويو	Wayo
4	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
5	.	.	PERIOD		پورو دم							Dot
1	مظفر	مظفر	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	مظفر	Muzfar
2	دوستن	دوست	NOUN	NNS	اسم	Case = Nom		Number = Plur		Morphology Form = Bound	دوست	Doastan
3	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
4	خوش	خوش	NOUN	JJ 	صفت	Case = ACC				Morphology Form = Simple	خوش	Khush
5	چوي	چوي	VERB	VB 	فعل					Morphology Form = Bound	چوي	chaway
6	ٿو	ٿو	VERB	VB 	فعل					Morphology Form = Simple	ٿو	tho
7	.	.	PERIOD		پورو دم							Dot
1	مظفر	مظفر	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	مظفر	Muzfar
2	دوستن	دوست	NOUN	NNS	اسم	Case = Nom		Number = Plur		Morphology Form = Bound	دوست	Doastan
3	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
4	پاڻي	پاڻي	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Bound	پاڻي	paani
5	پياري	پيار	ADJ	JJ 	صفت					Morphology Form = Bound	پياري	pyaari
6	ٿو	ٿو	VERB	VB 	فعل					Morphology Form = Simple	ٿو	tho
7	.	.	PERIOD		پورو دم							Dot
1	گوپال	گوپال	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	گوپال	Gopal
2	ٿڌو	ٿڌ	ADJ	JJ 	صفت					Morphology Form = Simple	ٿڌو	thadho
3	شربت	شربت	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	شربت	Sharbat
4	پيئي	پيءَ	VERB	VB 	فعل					Morphology Form = Bound	پيءَ	peeay
5	ٿو	ٿو	VERB	VB 	فعل					Morphology Form = Simple	ٿو	tho
6	.	.	PERIOD		پورو دم							Dot
1	مظفر	مظفر	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	مظفر	Muzfar
2	گوپال	گوپال	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	گوپال	Gopal
3	کان	کان	ADP	IN 	حرفِ جر					Morphology Form = Simple	کان	khaan
4	بلدياتي	بلديات	ADJ	JJ 	صفت			Number = Sing		Morphology Form = Bound	بلديات	Baldiaaty
5	چونڊون	چونڊ	NOUN	NNS	اسم	Case = Nom		Number = Plur		Morphology Form = Bound	چونڊ	choondoon
6	کٽيون	کٽڻ	VERB	VB 	فعل			Number = Plur	Person = 3	Morphology Form = Bound	کٽڻ	khatyoon
7	.	.	PERIOD		پورو دم							Dot
1	نوجوانن	نوجوان	NOUN	NNS	اسم	Case = Nom		Number = Plur		Morphology Form = Bound	نوجوان	Nojawaanan
2	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
3	سهپ	سهپ	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	سهپ	Sahap
4	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
5	مادو	مادو	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	مادو	Maado
6	گھٽ	گھٽ	ADJ	JJ 	صفت					Morphology Form = Simple	گھٽ	Ghat
7	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
8	.	.	PERIOD		پورو دم							Dot
1	پاڪستانين	پاڪستان	NOUN	NNS	اسم	Case = Nom		Number = Plur		Morphology Form = Bound	پاڪستان	pakistanian
2	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
3	تعليم	تعليم	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	تعليم	Taaleem
4	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
5	ميدان	ميدان	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ميدان	Medaan
6	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
7	اڳتي	اڳ	ADJ	JJ 	صفت			Number = Sing		Morphology Form = Bound	اڳ	Aghtay
8	وڌڻ	وڌ	VERB	VB 	فعل					Morphology Form = Bound	وڌ	Wadhan
9	کپي	کپي	AUX	VB 	فعل معاون					Morphology Form = Bound	کپي	khapay
10	.	.	PERIOD		پورو دم							Dot
1	سڀني	سڀ	ADJ	JJ 	صفت					Morphology Form = Bound	سڀ	Sabhni
2	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
3	پنهنجي	پنهنجي	PRON	PRP 	ضمير					Morphology Form = Bound	پنهنجي	Pahenji
4	وڏن	وڏو	ADJ	JJ 	صفت					Morphology Form = Bound	وڏو	waddan
5	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
6	احترام	احترام	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	احترام	Ihtraam
7	ڪرڻ	ڪر	VERB	VB 	فعل			Number = Sing		Morphology Form = Simple	ڪر	karan
8	گھرجي	گھرج	AUX	VB 	فعل معاون					Morphology Form = Bound	گھرجي	ghurjay
9	.	.	PERIOD		پورو دم							Dot
1	سڀني	سڀ	ADJ	JJ 	صفت					Morphology Form = Bound	سڀ	Sabhni
2	انسانن	انسانن	NOUN	NNS	اسم			Number = Plur		Morphology Form = Bound	انسان	Insaanan
3	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
4	پنهنجي	پنهنجي	PRON	PRP 	ضمير					Morphology Form = Bound	پنهنجي	Pahenji
5	رب	رب	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing		Morphology Form = Simple	رب	Rab
6	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
7	عبادت	عبادت	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	عبادت	Ibaadat
8	ڪرڻ	ڪر	VERB	VB 	فعل			Number = Sing		Morphology Form = Simple	ڪر	karan
9	گھرجي	گھرج	AUX	VB 	فعل معاون					Morphology Form = Bound	گھرجي	ghurjay
10	.	.	PERIOD		پورو دم							Dot
1	ديسي	ديس	ADJ	JJ 	صفت					Morphology Form = Bound	ديس	Desi
2	هنرن	هنر	NOUN	NNS	اسم	Case = ACC		Number = Plur		Morphology Form = Bound	هنر	Hunran
3	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
4	زور	زور	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	زور	Zor
5	وٺائڻ	وٺ	VERB	VB 	فعل					Morphology Form = Bound	وٺ	Wathaaen
6	گھرجي	گھرج	AUX	VB 	فعل معاون					Morphology Form = Bound	گھرجي	ghurjay
7	.	.	PERIOD		پورو دم							Dot
1	پاڪستان	پاڪستان	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	پاڪستان	Pakistan
2	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
3	تعليمي	تعليمي	ADJ	JJ 	صفت					Morphology Form = Bound	تعليمي	Taleemi
4	نظام	نظام	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	نظام	Nizaam
5	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
6	بهتري	بهتر	NOUN	NN 	اسم		Gender = Fem	Number = Sing		Morphology Form = Bound	بهتر	Behtareen
7	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
8	ضرورت	ضرورت	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	ضرورت	Zaroorat
9	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
10	.	.	PERIOD		پورو دم							Dot
1	اچو	اچ	PRON	PRP 	ضمير			Number = Plur		Morphology Form = Bound	اچ	Acho
2	ته	ته	ADP	IN 	حرفِ جر					Morphology Form = Simple	ته	ta
3	گڏجي	گڏ	ADV	RB 	ظرف					Morphology Form = Bound	گڏ	
4	پڙهون	پڙه	VERB	VB 	فعل					Morphology Form = Bound	پڙه	parhoon
5	.	.	PERIOD		پورو دم							Dot
6	اچو	اچ	PRON	PRP 	ضمير			Number = Plur		Morphology Form = Bound	اچ	Acho
7	ته	ته	ADP	IN 	حرفِ جر					Morphology Form = Simple	ته	ta
8	گڏجي	گڏ	ADV	RB 	ظرف					Morphology Form = Bound	گڏ	
9	راند	راند	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	راند	Raand
10	کيڏون	کيڏ	VERB	VB 	فعل					Morphology Form = Bound	کيڌڻ	kheddyoon
11	.	.	PERIOD		پورو دم							Dot
1	راندين	راند	NOUN	NNS	اسم	Case = Nom		Number = Plur		Morphology Form = Bound	راند	Raandian
2	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
3	ميدان	ميدان	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ميدان	Medaan
4	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
5	به	به	ADP	IN 	حرفِ جر					Morphology Form = Simple	به	Bi
6	اسان	آءُ	PRON	PRP 	ضمير					Morphology Form = Bound	اسان	Asaan
7	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
8	اڳتي	اڳ	ADJ	JJ 	صفت			Number = Sing		Morphology Form = Bound	اڳ	Aghtay
9	وڌڻ	وڌ	VERB	VB 	فعل					Morphology Form = Bound	وڌ	Wadhan
10	کپي	کپي	AUX	VB 	فعل معاون					Morphology Form = Bound	کپي	khapay
11	.	.	PERIOD		پورو دم							Dot
1	راند	راند	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	راند	Raand
2	کيڏڻ	کيڏ	VERB	VB 	فعل					Morphology Form = Simple	کيڏڻ	kheddan
3	سان	سان	ADP	IN 	حرفِ جر					Morphology Form = Bound	سان	Saan
4	صحت	صحت	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	صحت	Sehat
5	سٺي	سٺي	ADJ	JJ 	صفت					Morphology Form = Bound	سٺي	Suthi
6	ٿئي	ٿي	VERB	VB 	فعل					Morphology Form = Bound	ٿئي	theeay
7	ٿي	ٿي	VERB	VB 	فعل					Morphology Form = Simple	ٿي	thee
8	.	.	PERIOD		پورو دم							Dot
1	هر	هر	DET	DT 	ضمير اشارو					Morphology Form = Simple	هر	Har
2	ماڻهو	ماڻهو	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ماڻهو	Maanhoo
3	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
4	پنهنجي	پنهنجي	PRON	PRP 	ضمير					Morphology Form = Bound	پنهنجي	Pahenji
5	وڏن	وڏو	ADJ	JJ 	صفت					Morphology Form = Bound	وڏو	waddan
6	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
7	احترام	احترام	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	احترام	Ihtraam
8	ڪرڻ	ڪر	VERB	VB 	فعل			Number = Sing		Morphology Form = Simple	ڪر	karan
9	گھرجي	گھرج	AUX	VB 	فعل معاون					Morphology Form = Bound	گھرجي	ghurjay
10	.	.	PERIOD		پورو دم							Dot
1	سڀني	سڀ	ADJ	JJ 	صفت					Morphology Form = Bound	سڀ	Sabhni
2	ماڻهن	ماڻهو	NOUN	NN 	اسم	Case = Nom		Number = Plur		Morphology Form = Bound	ماڻهو	Manhun
3	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
4	سمجھائڻ	سمجھ	VERB	VB 	فعل					Morphology Form = Bound	سمجھ	Samjhaaen
5	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
6	باوجود	باوجود	ADV	RB 	ظرف			Number = Sing		Morphology Form = Bound	باوجود	Bawajood
7	به	به	ADP	IN 	حرفِ جر					Morphology Form = Simple	به	Bi
8	هُو	هُو	DET	DT 	ضمير اشارو					Morphology Form = Simple	هُو	Hoo
9	وڃڻ	وڃ	VERB	VB 	فعل					Morphology Form = Bound	وڃ	waghhan
10	کان	کان	ADP	IN 	حرفِ جر					Morphology Form = Simple	کان	khaan
11	نه	نه	ADV	RB 	ظرف					Morphology Form = Simple	نه	Na 
12	مڙيو	مڙ	VERB	VBD 	فعل					Morphology Form = Bound	مڙ	Murryo
13	.	.	PERIOD		پورو دم							Dot
1	بهتر	بهتر	ADJ	JJ 	صفت			Number = Sing		Morphology Form = Simple	بهتر	Behtar
2	تعليم	تعليم	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	تعليم	Taaleem
3	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
4	نظام	نظام	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	نظام	Nizaam
5	ئي	ئي	ADV	RB 	ظرف					Morphology Form = Simple	ئي	Ee
6	ملڪ	ملڪ	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ملڪ	Mulk
7	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
8	ترقي	ترقي	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	ترقي	Tarqi
9	ڏياڙيندو	ڏياڙ	VERB	VB 	فعل					Morphology Form = Bound	ڏياڙ	Ddeeaareendo
10	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
11	.	.	PERIOD		پورو دم							Dot
1	پاڪستان	پاڪستان	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	پاڪستان	Pakistan
2	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
3	موسم	موسم	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	موسم	Mosam
4	۽	۽	CONJ	CC 	حرف جملو						۽	Aen
5	ماڻهن	ماڻهو	NOUN	NN 	اسم	Case = Nom		Number = Plur		Morphology Form = Bound	ماڻهو	Manhun
6	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
7	ڪو	ڪو	DET	DT 	ضمير اشارو					Morphology Form = Simple	ڪو	ko
8	ڀروسو	ڀروسو	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Bound	ڀروسو	bharwaso
9	ئي	ئي	ADV	RB 	ظرف					Morphology Form = Simple	ئي	Ee
10	نه	نه	ADV	RB 	ظرف					Morphology Form = Simple	نه	Na 
11	رهيو	رهيو	VERB	VBD 	فعل					Morphology Form = Bound	رهيو	Rahyo
12	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
13	.	.	PERIOD		پورو دم							Dot
1	اسلم	اسلم	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	اسلم	Aslam
2	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
3	سمجھائڻ	سمجھ	VERB	VB 	فعل					Morphology Form = Bound	سمجھ	Samjhaaen
4	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
5	باوجود	باوجود	ADV	RB 	ظرف			Number = Sing		Morphology Form = Bound	باوجود	Bawajood
6	به	به	ADP	IN 	حرفِ جر					Morphology Form = Simple	به	Bi
7	هُو	هُو	DET	DT 	ضمير اشارو					Morphology Form = Simple	هُو	Hoo
8	وڃڻ	وڃ	VERB	VB 	فعل					Morphology Form = Bound	وڃ	waghhan
9	کان	کان	ADP	IN 	حرفِ جر					Morphology Form = Simple	کان	khaan
10	نه	نه	ADV	RB 	ظرف					Morphology Form = Simple	نه	Na 
11	مڙيو	مڙ	VERB	VBD 	فعل					Morphology Form = Bound	مڙ	Murryo
12	.	.	PERIOD		پورو دم							Dot
1	شادين	شادي	NOUN	NNS	اسم	Case = Nom		Number = Plur		Morphology Form = Bound	شادي	Shaadian
2	جا	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Ja
3	خرچ	خرچ	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	خرچ	Kharach
4	ڏاڍا	ڏاڍ	ADJ	JJ 	صفت			Number = Plur		Morphology Form = Bound	ڏاڍو	Ddaada
5	وڌي	وڌي	ADJ	JJ 	صفت					Morphology Form = Bound	وڌ	widhi
6	ويا	ويو	VERB	VBD 	فعل					Morphology Form = Bound	ويو	Wayaa
7	آهن	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahin
8	.	.	PERIOD		پورو دم							Dot
1	ماڻهو	ماڻهو	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ماڻهو	Maanhoo
2	رشتن	رشتو	NOUN	NNS	اسم	Case = Nom		Number = Plur		Morphology Form = Bound	رشتو	Rishtan
3	کان	کان	ADP	IN 	حرفِ جر					Morphology Form = Simple	کان	khaan
4	وڌيڪ	وڌ	ADJ	JJ 	صفت					Morphology Form = Bound	وڌيڪ	wadheek
5	پئسن	پئسو	NOUN	NN 	اسم			Number = Plur		Morphology Form = Bound	پئسو	pesan
6	سان	سان	ADP	IN 	حرفِ جر					Morphology Form = Bound	سان	Saan
7	محبت	محبت	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	محبت	
8	ڪن	ڪن	VERB	VB 	فعل					Morphology Form = Simple	ڪن	kan
9	ٿا	ٿا	VERB	VB 	فعل					Morphology Form = Simple	ٿو	thaa
10	.	.	PERIOD		پورو دم							Dot
1	سومر	سومر	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	سومر	Soomar
2	تي	تي	ADP	PRP 	حرفِ جر					Morphology Form = Simple	تي	Te
3	اسان	آءُ	PRON	PRP 	ضمير					Morphology Form = Bound	اسان	Asaan
4	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
5	موڪل	موڪل	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Bound	موڪل	Mokal
6	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
7	.	.	PERIOD		پورو دم							Dot
8	مرد	مرد	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	مرد	Mard
9	پاڻ	پاڻ	PRON	PRP 	ضمير					Morphology Form = Simple	پاڻ	paan
10	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
11	برتر	برتر	ADJ	JJ 	صفت			Number = Sing		Morphology Form = Simple	برتر	Bartar
12	۽	۽	CONJ	CC 	حرف جملو						۽	Aen
13	عظيم	عظيم	ADJ	JJ 	صفت					Morphology Form = Simple	عظيم	Azeem
14	سمجهي	سمجه	VERB	VB 	فعل					Morphology Form = Bound	سمجه	Samjhe
15	ٿو	ٿو	VERB	VB 	فعل					Morphology Form = Simple	ٿو	tho
16	.	.	PERIOD		پورو دم							Dot
1	مرد	مرد	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	مرد	Mard
2	۽	۽	CONJ	CC 	حرف جملو						۽	Aen
3	عورت	عورت	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	عورت	Aurat
